data_year,criminal_act_id,offense_id
2021,9,163538853
2021,9,163538857
2021,9,163538858
2021,9,163538860
2021,9,163538861
2021,9,163538862
2021,9,164829314
2021,9,164829316
2021,1,164829317
2021,9,164829319
2021,9,165725450
2021,5,165725452
2021,9,165725456
2021,9,166619780
2021,9,166619792
2021,9,168239427
2021,9,168239428
2021,9,169573851
2021,6,169573847
2021,9,171120943
2021,9,171120952
2021,9,171120956
2021,9,171742228
2021,6,171742229
2021,9,173954801
2021,6,173954805
2021,1,174891223
2021,9,174891237
2021,6,174891239
2021,6,174891240
2021,8,174891241
2021,9,174891242
2021,9,174891243
2021,9,174891244
2021,6,174891245
2021,9,176320445
2021,9,176320446
2021,6,176320448
2021,6,176320449
2021,9,164829320
2021,9,166619795
2021,6,171120964
2021,9,171120965
2021,6,173954820
2021,9,163538863
2021,6,164829321
2021,6,165725460
2021,6,165725461
2021,6,165725462
2021,9,165725463
2021,9,165725464
2021,9,165725465
2021,9,166619797
2021,9,168239430
2021,9,171120967
2021,9,171120968
2021,9,171120970
2021,9,171120971
2021,9,171742243
2021,9,163538865
2021,6,176320459
2021,9,165725467
2021,9,176320463
2021,6,180451852
2021,9,176320464
2021,6,176320465
2021,1,176320469
2021,6,164294726
2021,9,164294727
2021,6,164294728
2021,6,164294729
2021,6,164294732
2021,7,164294732
2021,9,164294733
2021,9,164294734
2021,6,164294735
2021,6,164294739
2021,8,164294739
2021,9,164294740
2021,9,164294741
2021,6,164294743
2021,9,164294745
2021,9,164294746
2021,9,164294747
2021,9,164294756
2021,9,164294757
2021,9,164294765
2021,6,164294767
2021,9,164294771
2021,9,164294775
2021,6,164294778
2021,9,164294781
2021,9,164294784
2021,6,164294785
2021,9,164294787
2021,6,164294792
2021,6,164294794
2021,9,164294795
2021,9,164294797
2021,4,164294798
2021,6,164294804
2021,7,164294804
2021,9,164294810
2021,1,164294811
2021,6,164294811
2021,9,164294814
2021,9,161597201
2021,6,164294815
2021,6,164294817
2021,9,164294818
2021,9,164294824
2021,6,164294825
2021,6,164294826
2021,6,164294827
2021,9,164294828
2021,9,164294831
2021,6,164294834
2021,9,161593159
2021,9,164294836
2021,6,164325439
2021,9,164325442
2021,9,164325443
2021,9,164325444
2021,9,164325446
2021,9,164325448
2021,8,164325450
2021,9,164325451
2021,6,164325452
2021,9,164325455
2021,6,164325456
2021,9,164325457
2021,9,164325468
2021,9,164325469
2021,9,164325470
2021,9,164325471
2021,6,164325473
2021,6,164325474
2021,6,164325475
2021,9,164325476
2021,6,164325480
2021,6,164325481
2021,8,164325481
2021,9,164325483
2021,9,164325484
2021,9,164325485
2021,6,164325486
2021,6,164325487
2021,6,164325488
2021,9,164325490
2021,9,164325491
2021,9,164325492
2021,9,164325497
2021,6,164325501
2021,9,164325502
2021,9,164325504
2021,6,164325506
2021,6,164325507
2021,9,164325511
2021,9,164325514
2021,9,164325517
2021,9,164325518
2021,9,164325520
2021,9,164325521
2021,9,164325522
2021,9,164325523
2021,6,164577061
2021,9,164577062
2021,9,164577063
2021,6,164577064
2021,9,164577065
2021,9,164577066
2021,6,164577067
2021,6,164577068
2021,6,164577070
2021,7,164577070
2021,6,164577073
2021,9,164577074
2021,9,164577076
2021,6,164577078
2021,9,164577079
2021,9,164577081
2021,6,164577083
2021,8,164577083
2021,6,164577084
2021,9,164577085
2021,6,164577086
2021,6,164577087
2021,9,164577090
2021,9,164577091
2021,9,164577092
2021,9,164577096
2021,9,164577098
2021,9,164577099
2021,9,164577100
2021,9,164577102
2021,6,164577105
2021,6,164577106
2021,9,164577107
2021,9,164577111
2021,9,164577113
2021,8,164577116
2021,9,164577118
2021,9,164577119
2021,10,164577121
2021,6,164577122
2021,6,164577124
2021,6,164577125
2021,6,164577126
2021,9,164577130
2021,9,164577132
2021,1,164577136
2021,9,164577137
2021,9,164577138
2021,9,164577143
2021,9,164577145
2021,9,164577149
2021,9,164577151
2021,9,164577152
2021,1,164577156
2021,9,164577163
2021,9,164577166
2021,9,164577168
2021,1,164577173
2021,5,164577173
2021,6,164577174
2021,9,164577175
2021,9,164577176
2021,9,164577179
2021,1,164577182
2021,9,164577183
2021,9,164577184
2021,9,164577185
2021,9,164577186
2021,9,164577187
2021,9,164577188
2021,6,164577189
2021,6,164577190
2021,9,164577195
2021,9,165500931
2021,9,165500932
2021,7,165500934
2021,9,165500935
2021,9,165500938
2021,8,165500939
2021,9,165500942
2021,6,165500943
2021,9,165500946
2021,9,165500947
2021,9,165500951
2021,2,165500953
2021,6,165500954
2021,2,165500960
2021,6,165500960
2021,6,165500961
2021,6,165500962
2021,9,165500963
2021,9,165500964
2021,9,165500965
2021,9,165500966
2021,10,165500968
2021,6,165500969
2021,9,165500972
2021,9,165500973
2021,8,165500974
2021,9,165500975
2021,4,165500976
2021,8,165500976
2021,9,165500977
2021,9,165500979
2021,9,165500980
2021,9,165500983
2021,9,165500985
2021,9,165500991
2021,9,165500992
2021,9,165500993
2021,7,165500994
2021,9,165500995
2021,6,165500997
