data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,41955035,,51
2021,42674462,,51
2021,42674463,,51
2021,42674464,,51
2021,42674465,,51
2021,43767545,,51
2021,43767546,,51
2021,43767547,,51
2021,43767548,,51
2021,43767550,,51
2021,43767551,,51
2021,43767552,,51
2021,43767553,,51
2021,43767554,,51
2021,43767555,,51
2021,45132909,,51
2021,45132910,,51
2021,45132911,,51
2021,45132912,,51
2021,45132913,,51
2021,45132915,,51
2021,45132916,,51
2021,45132917,,51
2021,45132918,,51
2021,45132919,,51
2021,45132920,,51
2021,45132921,,51
2021,45132922,,51
2021,45279407,,51
2021,45279408,,7
2021,45279409,,51
2021,43935434,,51
2021,43935442,,51
2021,43935443,,51
2021,43935444,,51
2021,44497524,,51
2021,45536114,,51
2021,45536115,,51
2021,44497525,,51
2021,44497526,,51
2021,44714530,,51
2021,45039279,,51
2021,45039280,,51
2021,45039281,,51
2021,41234599,,51
2021,42448692,,51
2021,44393075,,51
2021,44883441,,51
2021,43391839,,51
2021,42472610,,51
2021,42472611,,51
2021,42472612,,51
2021,42472613,,51
2021,42472614,,51
2021,42472615,,51
2021,42472616,,51
2021,42472617,,51
2021,43072227,,51
2021,43072228,,51
2021,43072229,,51
2021,43072230,,51
2021,43072232,,51
2021,43391840,,51
2021,45489688,,51
2021,43695298,,51
2021,43695300,,51
2021,43935139,,51
2021,44693371,,3
2021,44693372,,51
2021,41955036,,51
2021,42278897,,51
2021,42500354,,51
2021,43129094,,51
2021,43129095,,51
2021,43445128,,51
2021,43815893,,51
2021,43974416,,51
2021,43974417,,51
2021,44497512,,51
2021,42278898,,51
2021,43815896,,52
2021,44497513,,3
2021,42278899,,51
2021,42278900,,51
2021,42500355,,51
2021,42500356,,51
2021,43815897,,51
2021,43815898,,51
2021,42500357,,51
2021,42500358,,51
2021,42500359,,51
2021,42500360,,51
2021,43445129,,51
2021,42146619,,3
2021,42146620,,51
2021,42146621,,51
2021,42146622,,52
2021,42146623,,51
2021,42146624,,51
2021,42146625,,51
2021,42146627,,3
2021,42146628,,51
2021,42146629,,51
2021,42146630,,52
2021,42146631,,9
2021,42146632,,9
2021,42146633,,51
2021,42155307,,51
2021,42155308,,51
2021,42155309,,51
2021,42155310,,51
2021,42155311,,51
2021,42155312,,51
2021,42155313,,9
2021,42155314,,51
2021,42155315,,51
2021,42155316,,9
2021,42216177,,3
2021,42216178,,9
2021,42216178,,52
2021,42216179,,9
2021,42216180,,51
2021,42216181,,9
2021,42216182,,51
2021,42216183,,51
2021,42216184,,51
2021,42216185,,51
2021,42216186,,51
2021,42448716,,51
2021,42448717,,3
2021,42448718,,9
2021,42448719,,51
2021,42448720,,3
2021,42448720,,52
2021,42448721,,51
2021,42448722,,51
2021,42448723,,51
2021,42448724,,51
2021,42448725,,51
2021,42448726,,51
2021,42448727,,9
2021,42448728,,51
2021,42448729,,9
2021,42448730,,51
2021,42448731,,51
2021,42741874,,51
2021,42741875,,51
2021,42741876,,51
2021,42741878,,51
2021,42741879,,9
2021,42741880,,51
2021,42741881,,51
2021,42741882,,51
2021,42741883,,51
2021,42741884,,9
2021,42741885,,9
2021,42741886,,51
2021,42741887,,51
2021,42741888,,51
2021,42741889,,51
2021,43096538,,9
2021,43096540,,51
2021,43096541,,9
2021,43096542,,51
2021,43096543,,51
2021,43096544,,51
2021,43096545,,9
2021,43096546,,9
2021,43096547,,51
2021,43096548,,51
2021,43096550,,51
2021,43096552,,9
2021,43096560,,51
2021,43096562,,9
2021,43096563,,51
2021,43096565,,51
2021,43096566,,51
2021,43096567,,51
2021,43096568,,51
2021,43096569,,51
2021,43096570,,9
2021,43497687,,9
2021,43497690,,51
2021,43497691,,52
2021,43497692,,51
2021,43497693,,51
2021,43497694,,51
2021,43497695,,9
2021,43497696,,9
2021,43497697,,9
2021,43497698,,3
2021,43497699,,51
2021,43793230,,51
2021,43793232,,9
2021,43793235,,3
2021,43793236,,51
2021,43793237,,51
2021,43793246,,51
2021,43793248,,51
2021,43793249,,51
2021,43793252,,51
2021,43793254,,52
2021,46010633,,51
2021,46010669,,51
2021,46010677,,9
2021,46010678,,51
2021,46010803,,3
2021,46010851,,51
2021,46010860,,51
2021,46010896,,51
2021,46010951,,51
2021,46010977,,51
2021,46011036,,3
2021,46011039,,3
2021,46011043,,51
2021,46011045,,51
2021,46011047,,51
2021,46011085,,51
2021,46011116,,51
2021,46011190,,51
2021,46011235,,51
2021,46011269,,51
2021,44425223,,3
2021,44425223,,52
2021,44425224,,51
2021,44425225,,51
2021,44425226,,51
2021,44425227,,51
2021,44425228,,51
2021,44425229,,51
2021,44425230,,9
2021,44425231,,51
2021,44425232,,51
2021,44425235,,51
2021,44425236,,51
2021,44425237,,3
2021,44425238,,9
2021,44425239,,51
2021,44714205,,51
2021,44714206,,51
2021,44714210,,51
2021,41346889,,51
2021,44714211,,51
2021,44714212,,3
2021,44714213,,9
2021,44714214,,51
2021,44714215,,9
2021,45088512,,51
2021,45088513,,51
2021,45088514,,51
2021,45088515,,51
2021,45088516,,51
2021,45088517,,51
2021,45088518,,51
2021,45088519,,51
2021,45088520,,51
2021,45088521,,3
2021,45088522,,51
2021,45088523,,51
2021,45088524,,51
2021,45088525,,51
2021,43423729,,51
2021,42140403,,51
2021,42140404,,51
2021,42140405,,51
2021,42140406,,51
2021,42140407,,51
2021,42692111,,51
2021,42692113,,51
2021,42692114,,51
2021,42692116,,51
2021,42692117,,51
2021,42692118,,51
2021,42692119,,51
2021,42692120,,51
2021,43085984,,51
2021,43085986,,51
2021,43085987,,51
2021,43085988,,51
2021,43085989,,51
2021,43650301,,51
2021,43650302,,51
2021,43650303,,51
2021,43650304,,51
2021,43650305,,51
2021,43650306,,51
2021,43650307,,51
2021,43650308,,51
2021,43650309,,51
2021,43650311,,51
2021,43650312,,51
2021,43650314,,51
2021,43650315,,53
2021,43650316,,51
2021,43650317,,51
2021,43650318,,51
2021,43650319,,51
2021,43650322,,51
2021,43972637,,51
2021,43972638,,51
2021,43972639,,51
2021,43972640,,51
2021,44407144,,51
2021,44407145,,51
2021,44407146,,51
2021,44407147,,51
2021,44407148,,51
2021,44407149,,51
2021,44407150,,51
2021,44407151,,51
2021,44407152,,51
2021,44655638,,4
2021,44655639,,51
2021,44655640,,51
2021,44655641,,51
2021,44655642,,51
2021,45097799,,51
2021,45097800,,51
2021,45097801,,51
2021,45097802,,51
2021,45097803,,51
2021,45097816,,51
2021,45097821,,51
2021,45097851,,51
2021,45097866,,51
2021,45097868,,51
2021,43423730,,51
2021,43423734,,51
2021,41639943,,51
2021,41639942,,51
2021,41639944,,51
2021,41639945,,51
2021,41636561,,51
2021,41636562,,51
2021,41639947,,51
2021,41639948,,51
2021,41636563,,51
2021,41639949,,51
2021,41639950,,51
2021,41639951,,51
2021,41636566,,51
2021,41639952,,52
2021,41639953,,51
2021,41636567,,51
2021,41639961,,51
2021,41639954,,51
2021,41639955,,51
2021,41639956,,51
2021,41639957,,51
2021,41639958,,51
2021,41639959,,52
2021,41639960,,51
2021,41639962,,51
2021,41639999,,51
2021,41636568,,52
2021,41636569,,51
2021,41636570,,51
2021,41639966,,51
2021,41636571,,51
2021,41639990,,51
2021,41639992,,51
2021,41639994,,51
2021,41636588,,51
2021,41640000,,51
2021,41640001,,51
2021,41636594,,51
2021,41636590,,51
2021,41636592,,51
2021,41640004,,51
2021,41640005,,51
2021,41636593,,51
2021,41640006,,51
2021,41640007,,52
2021,41636595,,51
2021,42146686,,51
2021,42146687,,51
2021,42146690,,51
2021,42146692,,51
2021,42146693,,51
2021,42146695,,51
2021,42146696,,51
2021,44778640,,51
2021,42146697,,9
2021,43815486,,53
2021,43815487,,53
2021,42146699,,51
2021,42146700,,51
2021,42146701,,51
2021,45560405,,51
2021,45560406,,3
2021,42146702,,51
2021,42146703,,51
2021,42146705,,51
2021,42146706,,51
2021,42146707,,51
2021,42146708,,52
2021,45132809,,51
2021,42146709,,51
2021,42146711,,51
2021,42146716,,51
2021,42146717,,51
2021,42146718,,51
2021,42146719,,51
2021,42146720,,51
2021,43815488,,51
2021,42146721,,51
2021,42146722,,51
2021,42146723,,51
2021,42146724,,51
2021,42146725,,51
2021,42146726,,51
2021,42146727,,51
2021,42146728,,51
2021,42146729,,51
2021,42146730,,51
2021,42298165,,51
2021,42298166,,51
2021,42780725,,51
2021,42298167,,51
2021,42298168,,51
2021,42298169,,51
2021,42298170,,51
2021,42298171,,51
